awayTeam,homeTeam,awayScore,homeScore,awayPoss,homePoss,aORtg,hORtg,aDRtg,hDRtg,aeFG%,heFG%,aTO%,hTO%,aOR%,hOR%,aFTR,hFTR
Enel Brindisi,Fortituto Kontatto Bologna,72,78,72,72,100.0,108.4,108.4,100.0,0.415,0.532,0.055999999999999994,0.139,0.25,0.154,0.183,0.19399999999999998
Grissin Bon Reggio Emilia,Enel Brindisi,72,87,78,78,92.7,112.0,112.0,92.7,0.41200000000000003,0.486,0.154,0.129,0.314,0.261,0.149,0.254
Universo De'Longhi Treviso,Enel Brindisi,74,81,70,70,105.4,115.3,115.3,105.4,0.5579999999999999,0.532,0.171,0.171,0.207,0.281,0.11699999999999999,0.222
Enel Brindisi,Vanoli Cremona,89,93,78,78,114.5,119.7,119.7,114.5,0.5870000000000001,0.564,0.154,0.154,0.273,0.276,0.11599999999999999,0.2
Enel Brindisi,Red October Cantu,93,92,83,83,112.5,111.3,111.3,112.5,0.5,0.493,0.133,0.182,0.33299999999999996,0.28600000000000003,0.22399999999999998,0.32899999999999996
Virtus Roma,Enel Brindisi,81,88,85,85,95.5,103.8,103.8,95.5,0.47200000000000003,0.45299999999999996,0.23600000000000002,0.106,0.25,0.265,0.19699999999999998,0.267
Enel Brindisi ,Consultinvest VL Pesaro,103,77,81,81,126.8,94.8,94.8,126.8,0.563,0.486,0.111,0.16,0.25,0.25,0.163,0.09699999999999999
Universo De'Longhi Treviso,Vanoli Cremona,87,89,70,70,123.4,126.2,126.2,123.4,0.6579999999999999,0.48,0.19899999999999998,0.142,0.226,0.55,0.133,0.21100000000000002
Vanoli Cremona,Virtus Roma,94,97,76,76,123.0,126.9,126.9,123.0,0.551,0.69,0.131,0.209,0.423,0.188,0.261,0.293
Vanoli Cremona,Grissin Bon Reggio Emilia,71,85,76,76,93.3,111.7,111.7,93.3,0.42100000000000004,0.615,0.131,0.19699999999999998,0.41,0.128,0.092,0.16399999999999998
Vanoli Cremona,Umana Venezia,55,67,76,76,72.5,88.3,88.3,72.5,0.384,0.451,0.21100000000000002,0.22399999999999998,0.161,0.19,0.214,0.19699999999999998
Red October Cantu,Vanoli Cremona,78,54,68,68,115.4,79.9,79.9,115.4,0.575,0.295,0.163,0.14800000000000002,0.22,0.429,0.321,0.151
Fortituto Kontatto Bologna,Vanoli Cremona,73,80,69,69,105.2,115.3,115.3,105.2,0.58,0.5379999999999999,0.20199999999999999,0.10099999999999999,0.172,0.281,0.14300000000000002,0.136
Vanoli Cremona,Dolomiti Energia Trento,89,79,72,72,123.0,109.2,109.2,123.0,0.5660000000000001,0.49200000000000005,0.111,0.124,0.294,0.324,0.17600000000000002,0.231
Pallacanestro Trieste 2004,Vanoli Cremona,78,88,72,72,108.1,121.9,121.9,108.1,0.5,0.5,0.152,0.166,0.35700000000000004,0.429,0.2,0.158
Vanoli Cremona,Consultinvest VL Pesaro,74,63,74,74,100.0,85.1,85.1,100.0,0.514,0.33799999999999997,0.135,0.162,0.225,0.319,0.043,0.21100000000000002
Vanoli Cremona,Flexx Pistoia,71,84,70,70,101.5,120.0,120.0,101.5,0.431,0.568,0.14300000000000002,0.1,0.344,0.22899999999999998,0.231,0.28800000000000003
OpenJobMetis Varese,Vanoli Cremona,72,93,71,71,101.5,131.1,131.1,101.5,0.49200000000000005,0.6559999999999999,0.183,0.212,0.304,0.289,0.177,0.213
Vanoli Cremona,Universo De'Longhi Treviso,94,84,73,73,128.2,114.5,114.5,128.2,0.618,0.537,0.177,0.12300000000000001,0.2,0.33299999999999996,0.473,0.179
Virtus Roma,Vanoli Cremona ,92,103,79,79,115.9,129.8,129.8,115.9,0.596,0.633,0.18899999999999997,0.08800000000000001,0.265,0.24,0.162,0.107
